Quarter,Minute,Second,Down,ToGo,YardLine,SeriesFirstDown,Formation,YardLineDirection,OffenseTeam,DefenseTeam,PlayType,PlayDirection
1,4,50,1,10,31,0,SHOTGUN,OWN,PHI,ATL,RUSH,LEFT END
1,4,13,2,9,32,0,SHOTGUN,OWN,PHI,ATL,RUSH,CENTER
1,2,24,2,17,36,0,SHOTGUN,OWN,PHI,ATL,RUSH,LEFT TACKLE
1,0,26,2,10,20,0,SHOTGUN,OWN,ATL,PHI,RUSH,LEFT TACKLE
2,13,37,2,9,41,0,SHOTGUN,OWN,PHI,ATL,RUSH,LEFT TACKLE
2,6,9,1,10,25,0,UNDER CENTER,OWN,ATL,PHI,RUSH,RIGHT END
2,4,59,1,10,49,0,UNDER CENTER,OWN,ATL,PHI,RUSH,LEFT TACKLE
3,14,21,2,2,33,1,SHOTGUN,OWN,PHI,ATL,RUSH,LEFT GUARD
3,13,39,1,10,41,0,SHOTGUN,OWN,PHI,ATL,RUSH,CENTER
3,12,25,1,10,20,0,SHOTGUN,OWN,ATL,PHI,RUSH,CENTER
3,8,49,3,1,46,1,UNDER CENTER,OWN,PHI,ATL,RUSH,RIGHT GUARD
3,4,37,1,10,40,0,UNDER CENTER,OWN,ATL,PHI,RUSH,RIGHT END
3,3,57,2,10,40,0,UNDER CENTER,OWN,ATL,PHI,RUSH,LEFT END
3,2,32,1,10,16,0,UNDER CENTER,OWN,PHI,ATL,RUSH,CENTER
3,1,19,1,10,26,0,UNDER CENTER,OWN,ATL,PHI,RUSH,RIGHT END
4,12,58,1,10,4,0,UNDER CENTER,OWN,PHI,ATL,RUSH,CENTER
4,12,16,2,6,8,0,SHOTGUN,OWN,PHI,ATL,RUSH,CENTER
4,11,31,3,1,13,1,UNDER CENTER,OWN,PHI,ATL,RUSH,RIGHT END
4,9,48,1,10,25,0,SHOTGUN,OWN,PHI,ATL,RUSH,CENTER
4,9,13,2,3,32,0,SHOTGUN,OWN,PHI,ATL,RUSH,CENTER
4,7,33,1,10,33,0,SHOTGUN,OWN,ATL,PHI,RUSH,RIGHT END
1,8,38,1,10,32,0,SHOTGUN,OWN,BUF,BAL,RUSH,LEFT GUARD
1,7,13,1,10,25,0,UNDER CENTER,OWN,BAL,BUF,RUSH,RIGHT END
1,5,31,1,10,34,0,UNDER CENTER,OWN,BAL,BUF,RUSH,RIGHT GUARD
1,1,32,1,10,25,0,UNDER CENTER,OWN,BUF,BAL,RUSH,RIGHT GUARD
1,0,28,2,24,11,0,SHOTGUN,OWN,BUF,BAL,RUSH,LEFT GUARD
2,15,0,3,22,13,0,SHOTGUN,OWN,BUF,BAL,RUSH,CENTER
2,12,39,2,6,29,0,SHOTGUN,OWN,BUF,BAL,RUSH,RIGHT TACKLE
2,11,11,2,10,30,0,UNDER CENTER,OWN,BAL,BUF,RUSH,CENTER
2,10,23,1,10,40,0,UNDER CENTER,OWN,BAL,BUF,RUSH,LEFT TACKLE
2,6,52,1,10,16,0,UNDER CENTER,OWN,BUF,BAL,RUSH,RIGHT TACKLE
2,4,10,1,10,25,0,SHOTGUN,OWN,BUF,BAL,RUSH,LEFT GUARD
3,15,0,1,10,25,1,UNDER CENTER,OWN,BUF,BAL,RUSH,LEFT TACKLE
3,14,33,1,10,37,0,NO HUDDLE SHOTGUN,OWN,BUF,BAL,RUSH,RIGHT GUARD
3,11,22,1,10,25,0,UNDER CENTER,OWN,BUF,BAL,RUSH,RIGHT GUARD
3,7,46,1,10,48,1,NO HUDDLE SHOTGUN,OWN,BUF,BAL,RUSH,LEFT END
3,2,38,1,10,25,0,SHOTGUN,OWN,BAL,BUF,RUSH,LEFT GUARD
3,2,10,2,6,29,0,SHOTGUN,OWN,BAL,BUF,RUSH,RIGHT GUARD
3,1,28,3,6,29,1,SHOTGUN,OWN,BAL,BUF,RUSH,LEFT END
3,0,44,1,10,36,0,UNDER CENTER,OWN,BAL,BUF,RUSH,CENTER
4,12,41,2,8,35,0,UNDER CENTER,OWN,BUF,BAL,RUSH,RIGHT TACKLE
4,11,55,1,10,11,1,UNDER CENTER,OWN,BAL,BUF,RUSH,LEFT GUARD
4,11,15,1,10,26,0,UNDER CENTER,OWN,BAL,BUF,RUSH,LEFT GUARD
4,10,40,2,9,27,1,SHOTGUN,OWN,BAL,BUF,RUSH,CENTER
4,9,58,1,10,37,0,UNDER CENTER,OWN,BAL,BUF,RUSH,RIGHT GUARD
4,9,17,2,2,45,1,UNDER CENTER,OWN,BAL,BUF,RUSH,CENTER
4,8,30,1,10,48,0,UNDER CENTER,OWN,BAL,BUF,RUSH,RIGHT GUARD
4,3,37,2,10,49,0,NO HUDDLE SHOTGUN,OWN,BUF,BAL,RUSH,RIGHT GUARD
4,2,20,2,11,9,0,UNDER CENTER,OWN,BAL,BUF,RUSH,RIGHT GUARD
4,2,0,3,4,16,0,SHOTGUN,OWN,BAL,BUF,RUSH,LEFT GUARD
4,1,28,1,10,29,0,SHOTGUN,OWN,BUF,BAL,RUSH,RIGHT GUARD
1,15,0,1,10,25,0,UNDER CENTER,OWN,PIT,CLE,RUSH,RIGHT GUARD
1,10,51,2,10,48,0,UNDER CENTER,OWN,CLE,PIT,RUSH,RIGHT GUARD
1,9,29,1,10,32,1,UNDER CENTER,OWN,PIT,CLE,RUSH,RIGHT GUARD
1,8,48,1,10,42,0,UNDER CENTER,OWN,PIT,CLE,RUSH,LEFT GUARD
1,5,22,1,10,10,0,UNDER CENTER,OWN,CLE,PIT,RUSH,RIGHT GUARD
1,4,52,2,7,13,0,UNDER CENTER,OWN,CLE,PIT,RUSH,RIGHT GUARD
1,4,18,3,7,13,1,SHOTGUN,OWN,CLE,PIT,RUSH,LEFT TACKLE
1,3,43,1,10,26,0,UNDER CENTER,OWN,CLE,PIT,RUSH,RIGHT GUARD
1,1,55,1,10,12,0,UNDER CENTER,OWN,PIT,CLE,RUSH,RIGHT GUARD
1,1,16,2,6,16,0,UNDER CENTER,OWN,PIT,CLE,RUSH,RIGHT GUARD
2,11,16,1,10,25,0,SHOTGUN,OWN,CLE,PIT,RUSH,RIGHT TACKLE
2,5,50,1,10,43,0,SHOTGUN,OWN,CLE,PIT,RUSH,RIGHT GUARD
2,5,6,2,6,47,1,SHOTGUN,OWN,CLE,PIT,RUSH,LEFT GUARD
2,3,14,3,17,47,0,SHOTGUN,OWN,CLE,PIT,RUSH,RIGHT GUARD
2,1,58,1,10,35,1,SHOTGUN,OWN,PIT,CLE,RUSH,RIGHT GUARD
2,1,25,1,10,47,0,NO HUDDLE SHOTGUN,OWN,PIT,CLE,RUSH,LEFT GUARD
3,14,16,2,20,4,0,UNDER CENTER,OWN,CLE,PIT,RUSH,RIGHT TACKLE
3,13,50,1,10,13,0,UNDER CENTER,OWN,CLE,PIT,RUSH,LEFT TACKLE
3,13,42,1,10,31,0,UNDER CENTER,OWN,CLE,PIT,RUSH,RIGHT GUARD
3,12,58,2,1,40,1,UNDER CENTER,OWN,CLE,PIT,RUSH,RIGHT TACKLE
3,8,4,2,2,16,1,UNDER CENTER,OWN,CLE,PIT,RUSH,LEFT GUARD
3,7,31,2,10,21,0,SHOTGUN,OWN,CLE,PIT,RUSH,RIGHT TACKLE
3,5,16,2,10,11,0,UNDER CENTER,OWN,CLE,PIT,RUSH,LEFT GUARD
3,3,27,1,10,14,0,UNDER CENTER,OWN,PIT,CLE,RUSH,RIGHT GUARD
3,2,49,2,6,18,0,UNDER CENTER,OWN,PIT,CLE,RUSH,RIGHT TACKLE
3,1,33,1,10,26,0,NO HUDDLE SHOTGUN,OWN,PIT,CLE,RUSH,RIGHT TACKLE
3,0,54,2,5,31,0,SHOTGUN,OWN,PIT,CLE,RUSH,RIGHT TACKLE
4,10,50,1,10,14,0,UNDER CENTER,OWN,PIT,CLE,RUSH,LEFT GUARD
4,10,18,1,16,8,0,UNDER CENTER,OWN,PIT,CLE,RUSH,LEFT GUARD
4,9,41,2,15,9,0,SHOTGUN,OWN,PIT,CLE,RUSH,LEFT GUARD
4,7,44,1,10,18,0,UNDER CENTER,OWN,PIT,CLE,RUSH,RIGHT GUARD
4,5,14,1,10,5,0,UNDER CENTER,OWN,PIT,CLE,RUSH,RIGHT GUARD
4,4,39,2,3,12,0,UNDER CENTER,OWN,PIT,CLE,RUSH,RIGHT GUARD
4,3,53,1,10,17,0,UNDER CENTER,OWN,PIT,CLE,RUSH,RIGHT GUARD
4,3,13,2,9,18,0,UNDER CENTER,OWN,PIT,CLE,RUSH,LEFT GUARD
4,3,8,3,9,18,0,SHOTGUN,OWN,PIT,CLE,RUSH,CENTER
4,1,29,1,10,29,0,SHOTGUN,OWN,CLE,PIT,RUSH,RIGHT GUARD
5,10,0,1,10,25,0,SHOTGUN,OWN,CLE,PIT,RUSH,LEFT GUARD
5,8,43,1,10,17,0,SHOTGUN,OWN,PIT,CLE,RUSH,LEFT GUARD
5,5,29,1,10,19,0,SHOTGUN,OWN,CLE,PIT,RUSH,RIGHT TACKLE
1,14,53,1,10,30,0,UNDER CENTER,OWN,CIN,IND,RUSH,CENTER
1,13,10,1,10,7,0,UNDER CENTER,OWN,CIN,IND,RUSH,RIGHT GUARD
1,11,55,1,10,40,0,UNDER CENTER,OWN,CIN,IND,RUSH,LEFT END
1,7,45,2,7,28,1,UNDER CENTER,OWN,IND,CIN,RUSH,LEFT GUARD
1,6,40,2,4,46,0,UNDER CENTER,OWN,IND,CIN,RUSH,CENTER
2,15,0,2,3,49,1,UNDER CENTER,OWN,IND,CIN,RUSH,RIGHT END
2,12,2,1,10,25,0,UNDER CENTER,OWN,CIN,IND,RUSH,RIGHT END
2,9,24,1,10,22,0,SHOTGUN,OWN,IND,CIN,RUSH,LEFT END
2,7,44,1,20,30,0,SHOTGUN,OWN,IND,CIN,RUSH,CENTER
2,2,40,2,6,29,0,NO HUDDLE SHOTGUN,OWN,CIN,IND,RUSH,LEFT TACKLE
2,2,19,3,1,34,1,NO HUDDLE SHOTGUN,OWN,CIN,IND,RUSH,LEFT END
2,0,41,3,1,45,1,SHOTGUN,OWN,IND,CIN,RUSH,LEFT GUARD
3,14,54,2,10,25,0,UNDER CENTER,OWN,IND,CIN,RUSH,LEFT TACKLE
3,13,32,1,15,28,0,UNDER CENTER,OWN,CIN,IND,RUSH,RIGHT TACKLE
3,5,42,1,10,47,0,UNDER CENTER,OWN,CIN,IND,RUSH,RIGHT TACKLE
